#           Node connectivity          #
7500
# |   N1   |   N2   |  ...  |   Nn   | #
7455	5	7652	3
7456	154	5	7455
7457	303	154	7456
7458	452	303	7457
7459	601	452	7458
7460	750	601	7459
7461	899	750	7460
7462	1048	899	7461
7463	1197	1048	7462
7464	1346	1197	7463
7465	1495	1346	7464
7466	1644	1495	7465
7467	1793	1644	7466
7468	1942	1793	7467
7469	2091	1942	7468
7470	2240	2091	7469
7471	2389	2240	7470
7472	2538	2389	7471
7473	2687	2538	7472
7474	2836	2687	7473
7475	2985	2836	7474
7476	3134	2985	7475
7477	3283	3134	7476
7478	3432	3283	7477
7479	3581	3432	7478
7480	3730	3581	7479
7481	3879	3730	7480
7482	4028	3879	7481
7483	4177	4028	7482
7484	4326	4177	7483
7485	4475	4326	7484
7486	4624	4475	7485
7487	4773	4624	7486
7488	4922	4773	7487
7489	5071	4922	7488
7490	5220	5071	7489
7491	5369	5220	7490
7492	5518	5369	7491
7493	5667	5518	7492
7494	5816	5667	7493
7495	5965	5816	7494
7496	6114	5965	7495
7497	6263	6114	7496
7498	6412	6263	7497
7499	6561	6412	7498
7500	6710	6561	7499
7501	6859	6710	7500
7502	7008	6859	7501
7503	7157	7008	7502
4	7306	7157	7503
5	6	7651	7652
154	155	6	5
303	304	155	154
452	453	304	303
601	602	453	452
750	751	602	601
899	900	751	750
1048	1049	900	899
1197	1198	1049	1048
1346	1347	1198	1197
1495	1496	1347	1346
1644	1645	1496	1495
1793	1794	1645	1644
1942	1943	1794	1793
2091	2092	1943	1942
2240	2241	2092	2091
2389	2390	2241	2240
2538	2539	2390	2389
2687	2688	2539	2538
2836	2837	2688	2687
2985	2986	2837	2836
3134	3135	2986	2985
3283	3284	3135	3134
3432	3433	3284	3283
3581	3582	3433	3432
3730	3731	3582	3581
3879	3880	3731	3730
4028	4029	3880	3879
4177	4178	4029	4028
4326	4327	4178	4177
4475	4476	4327	4326
4624	4625	4476	4475
4773	4774	4625	4624
4922	4923	4774	4773
5071	5072	4923	4922
5220	5221	5072	5071
5369	5370	5221	5220
5518	5519	5370	5369
5667	5668	5519	5518
5816	5817	5668	5667
5965	5966	5817	5816
6114	6115	5966	5965
6263	6264	6115	6114
6412	6413	6264	6263
6561	6562	6413	6412
6710	6711	6562	6561
6859	6860	6711	6710
7008	7009	6860	6859
7157	7158	7009	7008
7306	7307	7158	7157
6	7	7650	7651
155	156	7	6
304	305	156	155
453	454	305	304
602	603	454	453
751	752	603	602
900	901	752	751
1049	1050	901	900
1198	1199	1050	1049
1347	1348	1199	1198
1496	1497	1348	1347
1645	1646	1497	1496
1794	1795	1646	1645
1943	1944	1795	1794
2092	2093	1944	1943
2241	2242	2093	2092
2390	2391	2242	2241
2539	2540	2391	2390
2688	2689	2540	2539
2837	2838	2689	2688
2986	2987	2838	2837
3135	3136	2987	2986
3284	3285	3136	3135
3433	3434	3285	3284
3582	3583	3434	3433
3731	3732	3583	3582
3880	3881	3732	3731
4029	4030	3881	3880
4178	4179	4030	4029
4327	4328	4179	4178
4476	4477	4328	4327
4625	4626	4477	4476
4774	4775	4626	4625
4923	4924	4775	4774
5072	5073	4924	4923
5221	5222	5073	5072
5370	5371	5222	5221
5519	5520	5371	5370
5668	5669	5520	5519
5817	5818	5669	5668
5966	5967	5818	5817
6115	6116	5967	5966
6264	6265	6116	6115
6413	6414	6265	6264
6562	6563	6414	6413
6711	6712	6563	6562
6860	6861	6712	6711
7009	7010	6861	6860
7158	7159	7010	7009
7307	7308	7159	7158
7	8	7649	7650
156	157	8	7
305	306	157	156
454	455	306	305
603	604	455	454
752	753	604	603
901	902	753	752
1050	1051	902	901
1199	1200	1051	1050
1348	1349	1200	1199
1497	1498	1349	1348
1646	1647	1498	1497
1795	1796	1647	1646
1944	1945	1796	1795
2093	2094	1945	1944
2242	2243	2094	2093
2391	2392	2243	2242
2540	2541	2392	2391
2689	2690	2541	2540
2838	2839	2690	2689
2987	2988	2839	2838
3136	3137	2988	2987
3285	3286	3137	3136
3434	3435	3286	3285
3583	3584	3435	3434
3732	3733	3584	3583
3881	3882	3733	3732
4030	4031	3882	3881
4179	4180	4031	4030
4328	4329	4180	4179
4477	4478	4329	4328
4626	4627	4478	4477
